state;stateName;pollster;startDate;endDate;numberOfObservations;biden;trump;other
AK;Alaska;Alaska Survey Research;6/23/2020;1/1/2020;663;48;49;
DI;District of Columbia;The Associated Press;1/1/2020;1/1/2020;;93;5;
AL;Alabama;Mason-Dixon-3;2/4/2020;1/1/2020;;38;58;
AR;Arkansas;Hendrix Coll.-2;6/9/2020;1/1/2020;;45;47;
AZ;Arizona;Climate Nexus;2/11/2020;1/1/2020;539;42;46;
CA;California;YouGov;2/1/2020;1/1/2020;;60;30;
CO;Colorado;Climate Nexus;2/15/2020;1/1/2020;485;46;43;
CT;Connecticut;Sacred Heart University;2/24/2020;1/1/2020;1000;52;36;
DE;Delaware;Gonzales Research;1/16/2020;1/1/2020;;56;40;
FL;Florida;Florida Atlantic University;1/9/2020;1/1/2020;;51;49;
GA;Georgia;SurveyUSA;2/1/2020;1/1/2020;443;47;43;
HI;Hawaii;MRG Research;7/27/2020;1/1/2020;975;56;29;
ID;Idaho;Election 2020-1;11/3/2020;1/1/2020;;33;64;
IA;Iowa;Siena College;1/20/2020;1/1/2020;;44;46;
IL;Illinois;Victory Research;9/23/2020;1/1/2020;;53;40;
IN;Indiana;Change Research;4/10/2020;1/1/2020;1021;39;52;5
KS;Kansas;DFM Research;1/30/2020;1/1/2020;;43;51;
KY;Kentucky;Public Policy Polling;5/14/2020;1/1/2020;1104;39;55;5
LA;Louisiana;ALG Research;8/6/2020;1/1/2020;800;43;50;
MA;Massachusetts;Emerson College;4/4/2020;1/1/2020;;69;31;
MD;Maryland;Goucher College;2/13/2020;1/1/2020;718;60;35;
ME;Maine;Public Policy Polling;3/2/2020;1/1/2020;872;52;42;
MI;Michigan;Glengariff Group;1/3/2020;1/1/2020;;50;43;
MN;Minnesota;Mason-Dixon Polling & Strategy;5/18/2020;1/1/2020;800;49;44;
MO;Missouri;Remington Research Group;2/26/2020;1/1/2020;1050;42;52;
MS;Mississippi;Mason-Dixon Polling & Research Inc.;2/26/2020;1/1/2020;625;41;56;
MT;Montana;University of Montana;2/12/2020;1/1/2020;498;34;56;
NC;North Carolina;SurveyUSA;2/13/2020;1/1/2020;2366;49;45;
ND;North Dakota;DFM Research;1/28/2020;1/1/2020;1;38;57;
NE;Nebraska;Election 2020-1;11/3/2020;1/1/2020;;39;59;
NH;New Hampshire;Marist College;1/20/2020;1/1/2020;;51;43;
NJ;New Jersey;Fairleigh Dickinson University (PublicMind);2/12/2020;1/1/2020;790;52;34;
NM;New Mexico;Emerson College;1/3/2020;1/1/2020;;54;46;
NV;Nevada;Fox News/Beacon Research/Shaw & Co. Research;1/5/2020;1/1/2020;;47;39;
NY;New York;Siena College;2/16/2020;1/1/2020;658;55;36;
OH;Ohio;Marist College;3/10/2020;1/1/2020;1710,49;45;
OK;Oklahoma;Cole Hargrave Snodgrass & Associates;2/10/2020;1/1/2020;500;33;57;
OR;Oregon;DHM Research;9/3/2020;1/1/2020;502;51;39;
PA;Pennsylvania;Expedition Strategies;2/6/2020;1/1/2020;500;47;42;
RI;Rhode Island;Election 2020-1;11/3/2020;1/1/2020;;60;39;
SC;South Carolina;East Carolina University;1/31/2020;1/1/2020;;40;52;
SD;South Dakota;Mason-Dixon Polling & Strategy;10/19/2020;1/1/2020;625;40;51;
TN;Tennessee;Mason-Dixon Polling & Strategy;1/28/2020;1/1/2020;;39;55;
TX;Texas;Texas Lyceum;1/10/2020;1/1/2020;;46;51;
UT;Utah;RMG Research;1/15/2020;1/1/2020;;31;49;
VT;Vermont;Braun Research;9/3/2020;1/1/2020;586;56;32;
VA;Virginia;Roanoke College;2/9/2020;1/1/2020;520;48;40;
WA;Washington;SurveyUSA;3/4/2020;1/1/2020;992;57;34;
WI;Wisconsin;Fox News/Beacon Research/Shaw & Co. Research;1/5/2020;1/1/2020;;46;41;
WV;West Virginia;Triton Poling & Research;9/29/2020;1/1/2020;525;38;56;
WV;Wyoming;University of Wyoming;10/8/2020;1/1/2020;614;31;59;
AK;Alaska;Gravis Marketing;10/26/2020;10/28/2020;770;43;52;
AK;Alaska;Public Policy Polling;10/19/2020;10/20/2020;800;45;50;
AK;Alaska;NYT/Siena College;10/9/2020;10/14/2020;423;39;45;8
AK;Alaska;Alaska Survey Research;9/25/2020;10/4/2020;676;46;50;
AK;Alaska;Harstad Strategic Research Inc.;9/20/2020;9/23/2020;602;46;47;
AK;Alaska;Public Policy Polling;7/23/2020;7/24/2020;885;44;50;
AK;Alaska;Alaska Survey Research;6/23/2020;7/7/2020;663;48;49;
AK;Alaska;Public Policy Polling;7/7/2020;7/8/2020;1081;45;48;
AL;Alabama;Data for Progress;10/27/2020;11/1/2020;1045;38;58;
AL;Alabama;Moore Information;10/11/2020;10/14/2020;504;38;55;
AL;Alabama;The Tyson Group;8/17/2020;8/18/2020;600;44;48;
AL;Alabama;Morning Consult;7/24/2020;8/2/2020;609;36;58;
AL;Alabama;FM3 Research;5/14/2020;5/18/2020;601;39;52;
AL;Alabama;Election 2020-1;3/11/2020;3/11/2020;;37;62;
AL;Alabama;Auburn U. at Montgomery-6;10/23/2020;10/28/2020;;39;58;
AL;Alabama;Auburn U. at Montgomery-4;9/30/2020;10/3/2020;;37;57;
AL;Alabama;Auburn U. at Montgomery-8;7/2/2020;7/9/2020;;41;55;
AL;Alabama;Mason-Dixon-3;2/4/2020;2/6/2020;;38;58;
AR;Arkansas;University of Arkansas;10/9/2020;10/21/2020;591;32;65;
AZ;Arizona;Change Research;10/29/2020;11/1/2020;409;50;47;
AZ;Arizona;Redfield & Wilton Strategies;10/26/2020;10/29/2020;889;50;46;2
